,X,2008,2009,2010,2011,2012,2013,2014,2015
1,adult_mortality,-0.78,-0.71,-0.71,-0.72,-0.67,-0.69,-0.73,-0.74
2,infant_deaths,-0.61,-0.6,-0.59,-0.6,-0.59,-0.58,-0.58,-0.58
3,alcohol,0.45,0.43,0.44,0.44,0.57,0.56,0.59,0.2
4,percentage_expenditure,0.46,0.51,0.49,0.46,0.51,0.45,0.42,0
5,hepatitis_B,0.39,0.36,0.38,0.33,0.33,0.39,0.42,0.47
6,measles,-0.14,-0.21,-0.26,-0.15,-0.2,-0.2,-0.21,-0.23
7,BMI,0.6,0.61,0.55,0.55,0.55,0.53,0.51,0.55
8,under_five_deaths,-0.62,-0.63,-0.62,-0.63,-0.62,-0.6,-0.6,-0.6
9,polio,0.53,0.43,0.52,0.5,0.52,0.54,0.53,0.56
10,total_expenditure,0.19,0.31,0.34,0.17,0.3,0.36,0.37,-1
11,diphtheria,0.52,0.47,0.52,0.49,0.51,0.56,0.52,0.55
12,HIV_AIDS,-0.77,-0.77,-0.76,-0.78,-0.76,-0.77,-0.77,-0.78
13,GDP,0.59,0.62,0.59,0.6,0.66,0.61,0.58,0.57
14,population,-0.17,0.06,0.01,-0.03,0.01,-0.13,-0.14,-0.01
15,thinness_1_19_years,-0.68,-0.67,-0.62,-0.61,-0.58,-0.62,-0.62,-0.64
16,thinness_5_9_years,-0.67,-0.66,-0.62,-0.61,-0.61,-0.63,-0.66,-0.66
17,income_composition_of_resources,0.88,0.87,0.89,0.9,0.9,0.9,0.9,0.91
18,schooling,0.79,0.78,0.81,0.82,0.82,0.83,0.84,0.84
